prov,time,gdp,pergdp,ei,fdi,il,lnpergdp,ui,pilot,post09,cross09,post10,cross10,post11,cross11,post12,cross12,post13,cross13,post14,cross14,post15,cross15,post16,cross16,lnlctfp,lnlci,eps,ind_num1,ind_num2,ind_num3,ind_num4,forest1,forest2,forest3
山西省,2015,12766.49,34918.71,1.4905428195220456,0.007505422398795597,0.40686750000000005,10.460778067690425,0.5503,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-0.916290731874155,6.682108597449809,4870.0,8.254528881939745,7.085064293952548,7.856319571406588,9.853719410302007,18.03,765.55,285944.0
山西省,2016,13050.41,35532.0,1.4539006820475373,0.008410463732557062,0.38539999999999996,10.478188977889591,0.5621,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-1.0216512475319814,6.785587645007929,4984.0,8.17413934342947,6.410174881966167,7.659642954564682,9.850824899952823,18.03,765.55,266694.0
内蒙古自治区,2008,7761.8,32214.0,1.8166302648870107,0.013656626040351465,0.55,10.380156419650625,0.5171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5978370007556204,4.7535901911063645,2483.0,8.292298107063221,6.543911845564792,7.346010209913293,9.553952827880492,17.7,4403.61,718562.0
内蒙古自治区,2009,9740.25,40282.0,1.5752726387926388,0.01071841071841072,0.525,10.603659998032827,0.534,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4780358009429998,4.836281906951478,2972.0,8.4040244933106,6.71174039505618,7.539027055823995,9.638450423646985,20.0,4394.93,865933.0
内蒙古自治区,2010,11672.0,47347.0,1.4410815678546949,0.010023989033584648,0.546,10.76525873863448,0.555,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.4620354595965587,5.262690188904886,3521.0,8.436200032206706,6.80903930604298,7.646353722445999,9.730342013030567,20.0,4394.93,655180.0
内蒙古自治区,2011,14359.88,57974.0,1.3048095401911437,0.0036420917166438715,0.56,10.967749913160826,0.5660000000000001,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.4307829160924542,5.583496308781699,3783.0,8.336869637284956,6.714170529909472,7.551186867296149,9.838250568863716,20.0,4394.93,731837.0
内蒙古自治区,2012,15880.58,63886.0,1.2459058705664403,0.0033563005885175476,0.5539999999999999,11.064855524029626,0.5774,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.40047756659712525,5.541263545158426,4053.0,8.353261499733874,6.473890696352274,7.510430556378006,9.892715127756329,20.0,4394.93,781617.0
内蒙古自治区,2013,16832.38,67498.0,1.0504159245454296,0.0030298745631930834,0.54,11.119853246792026,0.5871,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.31471074483970024,6.095824562432225,4301.0,8.384118837190895,6.787844982309579,7.754052639035757,9.780245895678089,21.03,4398.89,805156.0
内蒙古自治区,2014,17770.19,71046.0,1.03032100388347,0.005289757734723152,0.513,11.171082833559012,0.5951,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,-0.3856624808119846,5.996452088619021,4333.0,8.392310009269547,7.1098794630722715,7.967973179662935,9.815148021212604,21.03,4398.89,559247.0
内蒙古自治区,2015,17831.50878,71100.54421,1.0534161877018686,0.0017168597664790539,0.5047569,11.171850269911126,0.603,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-0.40047756659712525,6.259581464064923,4441.0,8.390268497842571,6.641182169740591,7.665284718471351,9.840760722627824,21.03,4398.89,704054.0
内蒙古自治区,2016,18128.1,72064.0,1.0651971249055334,0.005937191432086098,0.4718,11.185309892059308,0.6119,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.4462871026284195,6.327936783729195,4546.0,8.36380888451688,6.889591308354466,7.710653323501202,9.86837837542256,21.03,4398.89,618484.0
辽宁省,2008,13461.57,31259.0,1.3223761886615009,0.0483301724835959,0.5579999999999999,10.350062613700509,0.6004999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6539264674066639,6.899723107284872,3758.0,9.993145424466663,5.5134287461649825,6.51471269087253,9.787024497821463,32.97,634.39,81532.0
辽宁省,2009,15212.49,35239.0,1.2563296988198513,0.05540184414254339,0.52,10.469908702802991,0.6035,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5978370007556204,6.994849985833071,4034.0,10.0589516551602,5.726847747587197,6.786716950605081,9.858066613647432,35.13,666.28,129974.0
辽宁省,2010,18457.27,42355.0,1.1348654286359792,0.049769007009162244,0.541,10.653841756865651,0.621,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6348782724359695,7.336936913707618,4505.0,10.078784494393119,6.008813185442595,7.0825485693553,9.94972768718981,35.13,666.28,190669.0
辽宁省,2011,22226.7,50760.0,1.0218432515848055,0.03287037661911125,0.547,10.834863921828324,0.6409999999999999,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,-0.6539264674066639,7.513163545234075,4733.0,9.735896960342167,5.902633333401366,6.866933284461882,10.03065765373088,35.13,666.28,246767.0
辽宁省,2012,24846.43,56649.0,0.9468726396508472,0.035172054898832544,0.532,10.944629614049688,0.6565000000000001,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,-0.5978370007556204,7.700295203420117,4942.0,9.76117485976141,6.049733455231958,6.9650803456014065,10.065878677867298,35.13,666.28,246667.0
辽宁省,2013,27077.65,61686.0,0.8021744870769805,0.03436413425832744,0.527,11.029812279770773,0.6645,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,-0.4780358009429998,7.720461694599722,5122.0,9.773435813175855,5.953243334287785,6.9975959829819265,9.986034813503693,38.24,699.89,237457.0
辽宁省,2014,28626.58,65201.0,0.7616348163140689,0.02083029128872537,0.502,11.08523008522044,0.6705,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,-0.4942963218147801,7.750614732770409,5373.0,9.661861751843032,5.799092654460526,6.877296071497429,9.989802853988047,38.24,699.89,226471.0
辽宁省,2015,28669.016,65354.4122,0.7451249809201683,0.01646389956320789,0.4549152,11.08758023322312,0.6735,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,-0.4942963218147801,7.855544677915663,5758.0,9.417679691745425,5.655991810819852,6.55250788703459,9.969368921649641,38.24,699.89,215277.0
辽宁省,2016,22246.9,50791.0,0.937074378902229,0.018141853471719656,0.38689999999999997,10.835474452516607,0.6737000000000001,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,-0.5447271754416722,7.865955413933502,6080.0,8.990316947998217,4.6443908991413725,6.111467339502679,9.944965331982438,38.24,699.89,142438.0
吉林省,2008,6424.06,23514.0,1.1241107819665446,0.025560159774348307,0.47700000000000004,10.065351267427687,0.5321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.6348782724359695,5.594711379601839,2507.0,8.567315800819449,5.37989735354046,6.369900982828227,8.884797901256483,38.13,805.57,26114.0
吉林省,2009,7278.75,26595.0,1.0575677994161086,0.021954319079512282,0.48700000000000004,10.188478507176418,0.5332,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.616186139423817,5.762051382780177,2917.0,8.688790784847216,5.545177444479562,6.349138991379798,8.94868616335936,38.93,848.73,30228.0
